######################################################################
#
# 	CONDITIONS OF USE
# ____________________________________________________________________
# 
# 
# The files are freely available for download and use on the condition 
# that APNIC will not be held responsible for any loss or damage 
# arising from the use of the information contained in these reports.
# 
# APNIC endeavours to the best of its ability to ensure the accuracy 
# of these reports; however, APNIC makes no guarantee in this regard.
# 
# In particular, it should be noted that these reports seek to 
# indicate where resources were first allocated or assigned. It is not
# intended that these reports be considered as an authoritative 
# statement of the location in which any specific resource may 
# currently be in use.
# 
# For more information see: 
#
#       http://www.apnic.net/db/rir-stats-format.html
# or
#	ftp://ftp.apnic.net/pub/apnic/stats/apnic/README.TXT
#
######################################################################
#
apnic|SG|ipv6|2001:df0:14::|48|20080620
apnic|JP|ipv6|2001:df0:15::|48|20080625
apnic|LK|ipv6|2001:df0:17::|48|20080717
apnic|MY|ipv6|2001:df0:18::|48|20080812
apnic|VN|ipv6|2001:df0:19::|48|20080815
apnic|VN|ipv6|2001:df0:1a::|48|20080815
apnic|VN|ipv6|2001:df0:1b::|48|20080815
apnic|VN|ipv6|2001:df0:1c::|48|20080815
apnic|VN|ipv6|2001:df0:1d::|48|20080815
apnic|TH|ipv6|2001:df0:1e::|48|20080822
apnic|NZ|ipv6|2001:df0:1f::|48|20080829
apnic|AU|ipv6|2001:df0:20::|43|20080204
apnic|VN|ipv6|2001:df0:40::|48|20080904
apnic|NZ|ipv6|2001:df0:41::|48|20080925
apnic|AU|ipv6|2001:df0:42::|48|20081001
apnic|JP|ipv6|2001:df0:43::|48|20081017
apnic|HK|ipv6|2001:df0:44::|48|20081027
apnic|JP|ipv6|2001:df0:45::|48|20090108
apnic|JP|ipv6|2001:df0:46::|48|20090206
apnic|ID|ipv6|2001:df0:48::|48|20090409
apnic|AU|ipv6|2001:df0:49::|48|20090615
apnic|NZ|ipv6|2001:df0:4a::|48|20090623
apnic|AU|ipv6|2001:df0:4b::|48|20090820
apnic|AU|ipv6|2001:df0:4c::|48|20090824
apnic|AU|ipv6|2001:df0:4d::|48|20090908
apnic|AU|ipv6|2001:df0:4f::|48|20091015
apnic|AU|ipv6|2001:df0:50::|44|20090226
apnic|AU|ipv6|2001:df0:60::|48|20091015
apnic|TH|ipv6|2001:df0:62::|48|20091111
apnic|AU|ipv6|2001:df0:63::|48|20091120
apnic|ID|ipv6|2001:df0:65::|48|20091218
apnic|VN|ipv6|2001:df0:66::|48|20100115
apnic|JP|ipv6|2001:df0:68::|48|20100201
apnic|HK|ipv6|2001:df0:69::|48|20100211
apnic|NZ|ipv6|2001:df0:6a::|48|20100211
apnic|IN|ipv6|2001:df0:6b::|48|20100211
apnic|WS|ipv6|2001:df0:6c::|48|20100211
apnic|AU|ipv6|2001:df0:6e::|48|20100211
apnic|AU|ipv6|2001:df0:6f::|48|20100211
apnic|PH|ipv6|2001:df0:70::|48|20100211
apnic|AU|ipv6|2001:df0:71::|48|20100211
apnic|AU|ipv6|2001:df0:73::|48|20100212
apnic|AU|ipv6|2001:df0:74::|48|20100212
apnic|SG|ipv6|2001:df0:75::|48|20100212
apnic|AU|ipv6|2001:df0:76::|48|20100212
apnic|NZ|ipv6|2001:df0:77::|48|20100212
apnic|HK|ipv6|2001:df0:78::|48|20100212
apnic|AU|ipv6|2001:df0:7b::|48|20100215
apnic|AU|ipv6|2001:df0:7c::|48|20100215
apnic|NZ|ipv6|2001:df0:7d::|48|20100215
apnic|AU|ipv6|2001:df0:7e::|48|20100216
apnic|AU|ipv6|2001:df0:7f::|48|20100216
apnic|AU|ipv6|2001:df0:80::|48|20100218
apnic|AU|ipv6|2001:df0:81::|48|20100218
apnic|IN|ipv6|2001:df0:82::|48|20100218
apnic|AU|ipv6|2001:df0:83::|48|20100222
apnic|PK|ipv6|2001:df0:84::|48|20100224
apnic|HK|ipv6|2001:df0:85::|48|20100224
apnic|AU|ipv6|2001:df0:86::|48|20100302
apnic|AU|ipv6|2001:df0:87::|48|20100303
apnic|IN|ipv6|2001:df0:89::|48|20100309
apnic|AU|ipv6|2001:df0:8a::|48|20100309
apnic|NP|ipv6|2001:df0:8b::|48|20100314
apnic|NU|ipv6|2001:df0:8c::|48|20100318
apnic|SG|ipv6|2001:df0:8d::|48|20100318
apnic|AU|ipv6|2001:df0:8e::|48|20100324
apnic|AU|ipv6|2001:df0:8f::|48|20100326
apnic|AU|ipv6|2001:df0:90::|48|20100407
apnic|FJ|ipv6|2001:df0:91::|48|20100407
apnic|IN|ipv6|2001:df0:92::|48|20100412
apnic|AU|ipv6|2001:df0:93::|48|20100413
apnic|NZ|ipv6|2001:df0:94::|48|20100415
apnic|JP|ipv6|2001:df0:95::|48|20100419
apnic|ID|ipv6|2001:df0:96::|48|20100427
apnic|AU|ipv6|2001:df0:97::|48|20100429
apnic|ID|ipv6|2001:df0:98::|48|20100429
apnic|ID|ipv6|2001:df0:99::|48|20100429
apnic|ID|ipv6|2001:df0:9a::|48|20100429
apnic|ID|ipv6|2001:df0:9c::|48|20100512
apnic|MY|ipv6|2001:df0:9d::|48|20100518
apnic|TH|ipv6|2001:df0:9e::|48|20100518
apnic|HK|ipv6|2001:df0:9f::|48|20100518
apnic|AU|ipv6|2001:df0:a0::|48|20100525
apnic|AU|ipv6|2001:df0:a1::|48|20100601
apnic|NZ|ipv6|2001:df0:a2::|48|20100602
apnic|ID|ipv6|2001:df0:a3::|48|20100610
apnic|AU|ipv6|2001:df0:a4::|48|20100611
apnic|HK|ipv6|2001:df0:a5::|48|20100616
apnic|HK|ipv6|2001:df0:a6::|48|20100619
apnic|ID|ipv6|2001:df0:a7::|48|20100621
apnic|ID|ipv6|2001:df0:a8::|48|20100624
apnic|ID|ipv6|2001:df0:a9::|48|20100624
apnic|ID|ipv6|2001:df0:aa::|48|20100625
apnic|ID|ipv6|2001:df0:ab::|48|20100628
apnic|ID|ipv6|2001:df0:ac::|48|20100628
apnic|HK|ipv6|2001:df0:ad::|48|20100712
apnic|AU|ipv6|2001:df0:ae::|48|20100726
apnic|NZ|ipv6|2001:df0:b0::|48|20100730
apnic|ID|ipv6|2001:df0:b1::|48|20100802
apnic|ID|ipv6|2001:df0:b2::|48|20100802
apnic|ID|ipv6|2001:df0:b3::|48|20100802
apnic|ID|ipv6|2001:df0:b4::|48|20100803
apnic|ID|ipv6|2001:df0:b5::|48|20100803
apnic|ID|ipv6|2001:df0:b6::|48|20100803
apnic|ID|ipv6|2001:df0:b7::|48|20100803
apnic|ID|ipv6|2001:df0:b8::|48|20100804
apnic|NZ|ipv6|2001:df0:b9::|48|20100804
apnic|ID|ipv6|2001:df0:ba::|48|20100809
apnic|ID|ipv6|2001:df0:bb::|48|20100809
